t n p
0 10000 0
1 9982 0
2 9886 5.05766e-05
3 10000 5e-05
4 9990 0.0001001
5 9948 0.000150784
6 9930 0.00020141
7 9926 0.000352609
8 10000 0.0004
9 9996 0.00015006
10 10000 0.0001
11 10000 0.0001
12 9936 0.000150966
13 10000 0.00015
14 10000 0.0004
15 10000 0.00055
16 10000 0.0008
17 9888 0.000809061
18 9900 0.000909091
19 9874 0.000810209
20 9904 0.000605816
21 10000 0.0005
22 10000 0.00025
23 10000 0.0001
24 10000 0
25 9896 0
26 10000 0
27 9986 5.00701e-05
28 10000 0
29 10000 0
30 10000 0
31 10000 0
32 9826 0
33 9586 0
34 9672 0
35 9664 0
36 9558 0
37 9476 5.27649e-05
38 9394 0.000159676
39 9324 0.000268125
40 9228 0.000596012
41 9130 0.00060241
42 9088 0.000660211
43 9090 0.000825083
44 9112 0.000987709
45 9038 0.000663864
46 8986 0.000667705
47 9084 0.000220167
48 9088 0.000330106
49 9162 0.000382013
50 9356 0.000587858
51 9392 0.000266184
52 9366 0.000213538
53 9266 0.000215843
54 9202 0.000326016
55 9198 0.000489237
56 9180 0.000544662
57 9078 0.000495704
58 8964 0.000725123
59 8924 0.00084043
60 8818 0.00113404
61 8770 0.000798176
62 8790 0.00108077
63 8742 0.00108671
64 8540 0.00199063
65 8598 0.00168644
66 8614 0.00255398
67 8630 0.00341831
68 8616 0.00336583
69 8596 0.003141
70 8708 0.00384704
71 8564 0.00414526
72 8618 0.00452541
73 8574 0.00594822
74 8608 0.00569238
75 8578 0.00676148
76 8494 0.00671062
77 8540 0.00825527
78 8688 0.00869015
79 8580 0.00932401
80 8496 0.0113583
81 8526 0.0134295
82 8474 0.01422
83 8656 0.0144986
84 8890 0.0170416
85 8694 0.0202438
86 8754 0.0226182
87 8958 0.0242242
88 9048 0.0268015
89 9208 0.0301911
90 9330 0.0341908
91 9338 0.0408546
92 9442 0.0494069
93 9380 0.0539979
94 9508 0.0638936
95 9684 0.0708901
96 9860 0.0751014
97 10000 0.0825
98 10000 0.08965
99 10000 0.09845
100 10000 0.1074
101 10000 0.12175
102 10000 0.1307
103 10000 0.1372
104 10000 0.15125
105 10000 0.16475
106 10000 0.18005
107 10000 0.1912
108 10000 0.20495
109 10000 0.22505
110 10000 0.24845
111 10000 0.2634
112 10000 0.2758
113 10000 0.29955
114 10000 0.31965
115 10000 0.3383
116 10000 0.3632
117 10000 0.38105
118 10000 0.40335
119 10000 0.4268
120 10000 0.4511
121 10000 0.4699
122 10000 0.498
123 10000 0.51795
124 10000 0.53945
125 10000 0.55415
126 10000 0.57935
127 10000 0.61075
128 10000 0.6353
129 10000 0.65805
130 10000 0.6813
131 10000 0.695
132 10000 0.71765
133 10000 0.7294
134 10000 0.7486
135 10000 0.7671
136 10000 0.78515
137 10000 0.8013
138 10000 0.81625
139 10000 0.8319
140 10000 0.84825
141 10000 0.8576
142 10000 0.871
143 10000 0.87935
144 10000 0.8876
145 10000 0.8981
146 10000 0.9071
147 10000 0.91685
148 10000 0.9224
149 10000 0.9315
150 10000 0.9356
151 10000 0.93645
152 10000 0.94105
153 10000 0.94505
154 10000 0.94605
155 10000 0.9527
156 10000 0.951
157 10000 0.95455
158 10000 0.9603
159 10000 0.96515
160 10000 0.96775
161 10000 0.97025
162 10000 0.97315
163 10000 0.974
164 10000 0.9757
165 10000 0.9762
166 10000 0.97835
167 10000 0.9817
168 10000 0.98235
169 10000 0.9841
170 10000 0.98485
171 10000 0.98685
172 10000 0.98915
173 10000 0.9911
174 10000 0.9909
175 10000 0.99085
176 10000 0.99245
177 10000 0.99385
178 10000 0.99545
179 10000 0.99525
180 10000 0.99595
181 10000 0.9966
182 10000 0.99675
183 10000 0.99625
184 10000 0.99675
185 10000 0.9973
186 10000 0.99695
187 10000 0.99725
188 10000 0.99825
189 10000 0.99875
190 10000 0.99855
191 10000 0.9987
192 10000 0.99885
193 10000 0.99895
194 10000 0.99895
195 10000 0.9989
196 10000 0.9992
197 10000 0.9992
198 10000 0.9994
199 10000 0.99925
200 10000 0.9987
201 10000 0.99875
202 10000 0.99905
203 10000 0.9989
204 10000 0.9992
205 10000 0.9994
206 10000 0.99935
207 10000 0.99955
208 10000 0.99955
209 10000 0.9995
210 10000 0.9994
211 10000 0.99925
212 10000 0.99945
213 10000 0.99945
214 10000 0.99955
215 10000 0.9997
216 10000 0.9994
217 10000 0.99925
218 10000 0.99905
219 10000 0.99935
220 10000 0.9996
221 10000 0.99935
222 10000 0.9995
223 10000 0.9998
224 10000 0.99985
225 10000 0.99995
226 10000 0.99995
227 10000 1
