t n p
1 10000 0
2 10000 0
3 10000 0
4 9892 0
5 9888 0
6 9780 0
7 9810 0
8 9734 0
9 9660 5.17598e-05
10 9692 5.15889e-05
11 9616 0.000207987
12 9592 0.00015638
13 9530 0.000209864
14 9610 5.20291e-05
15 9668 0
16 9504 0
17 9530 0
18 9616 0
19 9414 0
20 9522 0
21 9502 0
22 9480 0
23 9464 0
24 9520 5.2521e-05
25 9618 0
26 9690 0
27 9700 0
28 9904 0
29 9808 0
30 9996 0
31 9924 0
32 9890 0
33 9830 0
34 9920 0
35 10000 5e-05
36 9826 0.000101771
37 9890 0.000151668
38 9782 0
39 9648 0
40 9558 0
41 9576 0
42 9516 0
43 9374 0
44 9392 5.32368e-05
45 9456 0.000158629
46 9336 0.000321337
47 9364 0.00026698
48 9266 0.000107921
49 9326 0
50 9442 0
51 9440 0
52 9392 0
53 9296 0
54 9296 0
55 9274 0
56 9414 0
57 9462 0
58 9348 0
59 9348 0
60 9470 0
61 9486 0
62 9558 0
63 9460 0
64 9554 0
65 9404 0
66 9510 0
67 9530 0
68 9406 0
69 9272 0
70 9300 0
71 9242 0
72 9278 0
73 9196 0
74 9084 0
75 9060 0
76 9076 0
77 8978 0
78 8996 0
79 8946 0
80 9072 0
81 9042 0
82 9082 0
83 9164 0
84 9070 0
85 8952 0
86 8906 0
87 9104 0
88 8872 0
89 8964 0
90 8968 0
91 8870 0
92 8830 0
93 8864 0
94 8880 0
95 8772 0
96 8706 0
97 8546 5.85069e-05
98 8642 0
99 8520 5.86854e-05
100 8490 0.000117786
101 8464 5.90737e-05
102 8578 0.000408021
103 8620 0.000580046
104 8702 0.000632039
105 8808 0.000624432
106 8834 0.000735794
107 8938 0.000839114
108 8934 0.000671592
109 8948 0.000670541
110 8942 0.000838739
111 8878 0.00112638
112 8990 0.00139043
113 9038 0.00105112
114 9096 0.000879507
115 9010 0.00099889
116 9098 0.000934271
117 9162 0.0014189
118 9228 0.000975293
119 9274 0.0011322
120 9252 0.00172936
121 9308 0.0018801
122 9464 0.00227177
123 9384 0.00250426
124 9302 0.0027951
125 9270 0.00291262
126 9268 0.00361459
127 9170 0.00381679
128 9252 0.0042153
129 9356 0.00331338
130 9296 0.00328098
131 9290 0.00392896
132 9326 0.00450354
133 9382 0.00607546
134 9366 0.00576553
135 9330 0.00584137
136 9244 0.00724794
137 9162 0.00813141
138 9228 0.0102948
139 9324 0.010725
140 9420 0.0116773
141 9320 0.0119635
142 9290 0.0120022
143 9378 0.0128492
144 9470 0.0119324
145 9584 0.0124687
146 9600 0.0148958
147 9542 0.0170824
148 9608 0.0193589
149 9768 0.0184275
150 9906 0.0200888
151 9982 0.0215889
152 9984 0.0227364
153 9938 0.0250553
154 10000 0.02665
155 10000 0.0293
156 9940 0.0316901
157 10000 0.0349
158 10000 0.03955
159 9992 0.044986
160 9868 0.0464126
161 9972 0.0495387
162 9996 0.0547219
163 10000 0.06115
164 10000 0.06945
165 10000 0.07685
166 10000 0.0844
167 10000 0.08925
168 10000 0.09835
169 10000 0.1073
170 10000 0.1141
171 10000 0.12155
172 10000 0.139
173 10000 0.1565
174 10000 0.17805
175 10000 0.1884
176 10000 0.203
177 10000 0.22425
178 10000 0.23925
179 10000 0.263
180 10000 0.28615
181 10000 0.3052
182 10000 0.32655
183 10000 0.34355
184 10000 0.3629
185 10000 0.37965
186 10000 0.4008
187 10000 0.4198
188 10000 0.435
189 10000 0.45945
190 10000 0.47855
191 10000 0.5095
192 10000 0.53605
193 10000 0.5626
194 10000 0.5955
195 10000 0.6212
196 10000 0.64305
197 10000 0.6692
198 10000 0.6986
199 10000 0.71855
200 10000 0.73235
201 10000 0.74785
202 10000 0.7688
203 10000 0.78325
204 10000 0.801
205 10000 0.81815
206 10000 0.832
207 10000 0.84335
208 10000 0.856
209 10000 0.867
210 10000 0.8762
211 10000 0.87845
212 10000 0.8854
213 10000 0.89485
214 10000 0.90625
215 10000 0.91555
216 10000 0.92005
217 10000 0.9281
218 10000 0.9331
219 10000 0.9389
220 10000 0.94215
221 10000 0.9465
222 10000 0.94935
223 10000 0.95155
224 10000 0.9559
225 10000 0.9586
226 10000 0.96085
227 10000 0.9621
228 10000 0.96575
229 10000 0.96605
230 10000 0.96775
231 10000 0.97365
232 10000 0.9747
233 10000 0.97645
234 10000 0.9789
235 10000 0.9812
236 10000 0.98265
237 10000 0.9849
238 10000 0.98585
239 10000 0.9883
240 10000 0.98785
241 10000 0.9894
242 10000 0.99115
243 10000 0.9921
244 10000 0.9921
245 10000 0.992
246 10000 0.99215
247 10000 0.9922
248 10000 0.9926
249 10000 0.99155
250 10000 0.9938
251 10000 0.99535
252 10000 0.99525
253 10000 0.99565
254 10000 0.9963
255 10000 0.99715
256 10000 0.9971
257 10000 0.99705
258 10000 0.9969
259 10000 0.99715
260 10000 0.99805
261 10000 0.99875
262 10000 0.99865
263 10000 0.9994
264 10000 0.99955
265 10000 0.99925
266 10000 0.99925
267 10000 0.99925
268 10000 0.99985
269 10000 0.9997
270 10000 0.9997
271 10000 0.99985
272 10000 0.99995
273 10000 0.99995
274 10000 0.99995
275 10000 1
