t n p
2 9440 0.000688559
3 8940 0.000950783
4 8364 0.00101626
5 7866 0.00146199
6 7496 0.00120064
7 7076 0.00169587
8 6632 0.00226176
9 6250 0.00224
10 5940 0.00244108
11 5840 0.00376712
12 5636 0.00496806
13 5396 0.00630096
14 5070 0.00690335
15 4878 0.00932759
16 4600 0.00847826
17 4320 0.00844907
18 4098 0.00744265
19 3972 0.0086858
20 3826 0.00718766
21 3568 0.00602578
22 3422 0.00642899
23 3186 0.00831764
24 2990 0.0083612
25 2868 0.00958856
26 2634 0.00949127
27 2480 0.00987903
28 2322 0.00495263
29 2242 0.00802855
30 2104 0.00641635
31 2014 0.00794439
32 1832 0.0114629
33 1868 0.00802998
34 1804 0.00970067
35 1662 0.0126354
36 1560 0.0189103
37 1542 0.0226978
38 1470 0.0282313
39 1390 0.0338129
40 1280 0.0425781
41 1236 0.0432848
42 1176 0.0535714
43 1094 0.071755
44 1020 0.0823529
45 994 0.081992
46 950 0.0726316
47 938 0.0740938
48 906 0.0778146
49 854 0.0802108
50 848 0.089033
51 802 0.100998
52 764 0.085733
53 724 0.100829
54 720 0.0986111
55 702 0.105413
56 684 0.103801
57 640 0.105469
58 620 0.134677
59 576 0.136285
60 514 0.134241
61 522 0.141762
62 496 0.138105
63 474 0.154008
64 432 0.1875
65 396 0.17803
66 404 0.180693
67 432 0.202546
68 388 0.177835
69 384 0.201823
70 382 0.185864
71 354 0.254237
72 344 0.242733
73 318 0.238994
74 308 0.25974
75 306 0.256536
76 300 0.236667
77 304 0.245066
78 294 0.268707
79 278 0.341727
80 276 0.297101
81 282 0.306738
82 260 0.292308
83 268 0.285448
84 298 0.354027
85 300 0.331667
86 280 0.339286
87 268 0.311567
88 284 0.320423
89 270 0.301852
90 254 0.318898
91 268 0.294776
92 266 0.330827
93 238 0.336134
94 216 0.398148
95 228 0.368421
96 234 0.356838
97 250 0.382
98 234 0.32265
99 238 0.367647
100 214 0.401869
101 232 0.396552
102 226 0.415929
103 242 0.442149
104 258 0.426357
105 272 0.430147
106 278 0.428058
107 246 0.430894
108 240 0.4375
109 248 0.455645
110 234 0.412393
111 236 0.42161
112 260 0.446154
113 234 0.474359
114 198 0.512626
115 198 0.469697
116 220 0.468182
117 232 0.476293
118 234 0.519231
119 258 0.532946
120 292 0.532534
121 330 0.533333
122 350 0.53
123 360 0.584722
124 408 0.60049
125 422 0.612559
126 446 0.60426
127 478 0.620293
128 500 0.638
129 514 0.635214
130 554 0.636282
131 580 0.65
132 602 0.662791
133 602 0.67608
134 598 0.7199
135 624 0.750801
136 684 0.743421
137 752 0.785239
138 788 0.814086
139 828 0.827295
140 870 0.847126
141 950 0.871579
142 966 0.878364
143 1038 0.881985
144 1070 0.880841
145 1154 0.895147
146 1210 0.894628
147 1314 0.891933
148 1398 0.890558
149 1476 0.892954
150 1578 0.8891
151 1702 0.905112
152 1858 0.907696
153 2008 0.91758
154 2150 0.927442
155 2266 0.935128
156 2348 0.939949
157 2500 0.9438
158 2594 0.942753
159 2780 0.942986
160 2974 0.938803
161 3066 0.939987
162 3270 0.934862
163 3478 0.948677
164 3742 0.950561
165 3916 0.954162
166 4198 0.955931
167 4462 0.962797
168 4776 0.962835
169 5036 0.961974
170 5332 0.963991
171 5696 0.966994
172 6070 0.968122
173 6360 0.968239
174 6782 0.967266
175 7098 0.968301
176 7628 0.96952
177 8050 0.969317
178 8534 0.968245
179 9150 0.968033
180 9808 0.96824
181 10000 0.97155
182 10000 0.97435
183 10000 0.97585
184 10000 0.9765
185 10000 0.97705
186 10000 0.97765
187 10000 0.9807
188 10000 0.97955
189 10000 0.9798
190 10000 0.9842
191 10000 0.98705
192 10000 0.9894
193 10000 0.99035
194 10000 0.98965
195 10000 0.9882
196 10000 0.9882
197 10000 0.98925
198 10000 0.98935
199 10000 0.9908
200 10000 0.99105
201 10000 0.99205
202 10000 0.9927
203 10000 0.99345
204 10000 0.99505
205 10000 0.9955
206 10000 0.99555
207 10000 0.9962
208 10000 0.99625
209 10000 0.996
210 10000 0.9968
211 10000 0.9974
212 10000 0.9977
213 10000 0.9972
214 10000 0.99765
215 10000 0.9974
216 10000 0.9975
217 10000 0.99765
218 10000 0.9981
219 10000 0.9982
220 10000 0.9979
221 10000 0.99675
222 10000 0.9961
223 10000 0.99635
224 10000 0.9964
225 10000 0.9964
226 10000 0.9969
227 10000 0.99745
228 10000 0.998
229 10000 0.998
230 10000 0.99855
231 10000 0.9989
232 10000 0.9983
233 10000 0.99835
234 10000 0.99795
235 10000 0.9973
236 10000 0.99785
237 10000 0.9989
238 10000 0.999
239 10000 0.9988
240 10000 0.99875
241 10000 0.99935
242 10000 0.99915
243 10000 0.999
244 10000 0.99905
245 10000 0.99935
246 10000 0.9993
247 10000 0.9997
248 10000 0.9996
249 10000 0.9996
250 10000 0.9994
251 10000 0.9992
252 10000 0.9995
253 10000 0.99935
254 10000 0.9995
255 10000 0.99925
256 10000 0.99945
257 10000 0.9994
258 10000 0.9999
259 10000 0.99975
260 10000 0.99995
261 10000 0.9999
262 10000 0.99955
263 10000 0.99965
264 10000 0.9998
265 10000 0.9999
266 10000 1
