t n p
0 10000 5e-05
1 9530 0.000104932
2 9040 5.53097e-05
3 8616 5.80316e-05
4 8234 0.000121448
5 7880 0.000253807
6 7510 0.000399467
7 7066 0.000919898
8 6640 0.000301205
9 6316 0.000949968
10 5904 0.000846883
11 5652 0.00061925
12 5348 0.000841436
13 5128 0.00117005
14 4956 0.00201776
15 4600 0.00206522
16 4430 0.00158014
17 4262 0.00140779
18 3860 0.00103627
19 3724 0.00120838
20 3508 0.000855188
21 3380 0.00236686
22 3234 0.00401979
23 2964 0.00472335
24 2768 0.00740607
25 2670 0.00917603
26 2684 0.0085693
27 2468 0.00911669
28 2330 0.0107296
29 2240 0.0129464
30 2118 0.0191218
31 2070 0.0231884
32 1866 0.0241158
33 1740 0.0212644
34 1632 0.0196078
35 1464 0.0177596
36 1350 0.0177778
37 1310 0.0141221
38 1238 0.0133279
39 1166 0.021012
40 1112 0.0269784
41 1070 0.0341121
42 996 0.0396586
43 914 0.0541575
44 880 0.0647727
45 834 0.0761391
46 838 0.073389
47 772 0.0887306
48 752 0.0977394
49 700 0.09
50 698 0.0938395
51 666 0.0953453
52 636 0.123428
53 610 0.142623
54 562 0.164591
55 536 0.166978
56 528 0.17803
57 474 0.168776
58 390 0.184615
59 366 0.217213
60 330 0.242424
61 328 0.27439
62 374 0.284759
63 362 0.309392
64 358 0.353352
65 392 0.348214
66 370 0.374324
67 380 0.367105
68 386 0.389896
69 348 0.422414
70 358 0.414804
71 378 0.375661
72 362 0.435083
73 352 0.399148
74 340 0.407353
75 334 0.464072
76 352 0.433239
77 344 0.47093
78 362 0.483425
79 372 0.490591
80 356 0.5
81 358 0.546089
82 368 0.608696
83 412 0.637136
84 416 0.634615
85 428 0.649533
86 428 0.679907
87 456 0.697368
88 470 0.711702
89 508 0.731299
90 558 0.736559
91 570 0.738596
92 604 0.731788
93 630 0.705556
94 664 0.725904
95 654 0.762232
96 654 0.786697
97 686 0.813411
98 728 0.813874
99 734 0.819482
100 800 0.83125
101 808 0.827351
102 846 0.839243
103 908 0.832599
104 980 0.837245
105 1046 0.836998
106 1122 0.845365
107 1170 0.848718
108 1250 0.858
109 1358 0.864138
110 1416 0.863701
111 1504 0.883644
112 1604 0.883728
113 1702 0.883079
114 1808 0.893529
115 1934 0.905119
116 2106 0.908832
117 2258 0.920283
118 2400 0.917292
119 2566 0.922058
120 2716 0.927467
121 2988 0.932564
122 3086 0.930169
123 3298 0.935112
124 3510 0.935185
125 3748 0.933164
126 4102 0.935885
127 4364 0.934578
128 4660 0.934227
129 5040 0.931845
130 5436 0.933959
131 5790 0.938774
132 6296 0.945839
133 6816 0.950778
134 7214 0.954117
135 7606 0.964502
136 8340 0.968285
137 9038 0.96902
138 9756 0.971043
139 10000 0.97105
140 10000 0.9728
141 10000 0.9753
142 10000 0.97545
143 10000 0.9752
144 10000 0.977
145 10000 0.97995
146 10000 0.9806
147 10000 0.9801
148 10000 0.98145
149 10000 0.9818
150 10000 0.9835
151 10000 0.98405
152 10000 0.9837
153 10000 0.98465
154 10000 0.98575
155 10000 0.9867
156 10000 0.9865
157 10000 0.98765
158 10000 0.9879
159 10000 0.98915
160 10000 0.9902
161 10000 0.99085
162 10000 0.99065
163 10000 0.99085
164 10000 0.9905
165 10000 0.9904
166 10000 0.98955
167 10000 0.9898
168 10000 0.99115
169 10000 0.9907
170 10000 0.9915
171 10000 0.99265
172 10000 0.9954
173 10000 0.99485
174 10000 0.99575
175 10000 0.9967
176 10000 0.99805
177 10000 0.9988
178 10000 0.9986
179 10000 0.99905
180 10000 0.9991
181 10000 0.9991
182 10000 0.99845
183 10000 0.9992
184 10000 0.9997
185 10000 0.99975
186 10000 0.9998
187 10000 0.99995
188 10000 0.99995
189 10000 1
