t n p
0 10000 0.0001
1 9552 0.00020938
2 9026 0.000276978
3 8470 0.000295159
4 7962 0.000188395
5 7572 0.000396197
6 7146 0.000489784
7 6796 0.000588582
8 6326 0.000632311
9 6060 0.000907591
10 5744 0.00121866
11 5562 0.00179791
12 5302 0.00188608
13 4962 0.00221685
14 4666 0.00203601
15 4356 0.00229568
16 4162 0.00252283
17 3924 0.00152905
18 3786 0.00132066
19 3618 0.00179657
20 3408 0.00146714
21 3226 0.0017049
22 3054 0.0024558
23 2866 0.00191905
24 2812 0.00266714
25 2640 0.00378788
26 2516 0.00437202
27 2414 0.00517813
28 2302 0.00564726
29 2244 0.00735294
30 2088 0.00933908
31 1958 0.00689479
32 1930 0.00725389
33 1822 0.00603732
34 1766 0.00481314
35 1726 0.00434531
36 1670 0.00419162
37 1566 0.00670498
38 1512 0.00793651
39 1466 0.0095498
40 1408 0.00887784
41 1308 0.0126147
42 1300 0.015
43 1190 0.0130252
44 1098 0.00774135
45 1026 0.00292398
46 954 0.0057652
47 902 0.00831486
48 818 0.0116137
49 804 0.0136816
50 762 0.015748
51 738 0.0216802
52 726 0.030303
53 672 0.0394345
54 688 0.034157
55 696 0.0416667
56 620 0.0443548
57 572 0.048951
58 542 0.048893
59 550 0.0545455
60 542 0.0747232
61 592 0.0684122
62 606 0.070132
63 570 0.0859649
64 596 0.0822148
65 518 0.0916988
66 506 0.114625
67 444 0.137387
68 424 0.142689
69 418 0.159091
70 434 0.167051
71 412 0.209951
72 414 0.229469
73 426 0.234742
74 478 0.23431
75 470 0.264894
76 466 0.258584
77 456 0.278509
78 432 0.309028
79 392 0.368622
80 388 0.402062
81 382 0.391361
82 400 0.39375
83 402 0.421642
84 356 0.393258
85 374 0.442513
86 402 0.502488
87 396 0.501263
88 384 0.528646
89 398 0.521357
90 392 0.534439
91 380 0.548684
92 390 0.564103
93 392 0.531888
94 412 0.575243
95 430 0.624419
96 420 0.617857
97 430 0.652326
98 408 0.683824
99 442 0.695701
100 460 0.753261
101 470 0.742553
102 490 0.754082
103 522 0.731801
104 544 0.738971
105 572 0.75
106 578 0.756055
107 660 0.790909
108 694 0.793228
109 770 0.806494
110 766 0.822454
111 816 0.830882
112 856 0.829439
113 890 0.80618
114 912 0.828947
115 968 0.845558
116 1018 0.850196
117 1064 0.861372
118 1162 0.862737
119 1216 0.867188
120 1256 0.882564
121 1350 0.877037
122 1430 0.871329
123 1546 0.888422
124 1622 0.887176
125 1824 0.893092
126 1944 0.905607
127 2114 0.908704
128 2202 0.906222
129 2366 0.917371
130 2572 0.926516
131 2740 0.940693
132 2902 0.944521
133 3140 0.947134
134 3492 0.951747
135 3710 0.951887
136 4010 0.952993
137 4336 0.951222
138 4600 0.958587
139 4842 0.964891
140 5284 0.969247
141 5688 0.973629
142 6302 0.974849
143 6894 0.973818
144 7374 0.977692
145 7818 0.98075
146 8340 0.982134
147 8864 0.984601
148 9624 0.986492
149 10000 0.9871
150 10000 0.98825
151 10000 0.99015
152 10000 0.99245
153 10000 0.99245
154 10000 0.9927
155 10000 0.9927
156 10000 0.99315
157 10000 0.99335
158 10000 0.99335
159 10000 0.9937
160 10000 0.994
161 10000 0.99465
162 10000 0.9947
163 10000 0.9947
164 10000 0.9967
165 10000 0.9975
166 10000 0.99745
167 10000 0.99665
168 10000 0.99645
169 10000 0.99665
170 10000 0.99735
171 10000 0.9975
172 10000 0.99815
173 10000 0.9988
174 10000 0.9987
175 10000 0.99895
176 10000 0.9991
177 10000 0.99835
178 10000 0.9982
179 10000 0.99835
180 10000 0.998
181 10000 0.99835
182 10000 0.99805
183 10000 0.9982
184 10000 0.99805
185 10000 0.99815
186 10000 0.99845
187 10000 0.99795
188 10000 0.99855
189 10000 0.99865
190 10000 0.9988
191 10000 0.999
192 10000 0.9984
193 10000 0.99765
194 10000 0.99715
195 10000 0.9969
196 10000 0.99645
197 10000 0.99605
198 10000 0.99695
199 10000 0.9973
200 10000 0.9969
201 10000 0.9972
202 10000 0.99665
203 10000 0.99675
204 10000 0.996
205 10000 0.99685
206 10000 0.99625
207 10000 0.99635
208 10000 0.9969
209 10000 0.99575
210 10000 0.9943
211 10000 0.995
212 10000 0.9945
213 10000 0.99515
214 10000 0.9952
215 10000 0.99435
216 10000 0.99455
217 10000 0.9952
218 10000 0.99655
219 10000 0.99615
220 10000 0.9971
221 10000 0.9974
222 10000 0.9977
223 10000 0.9983
224 10000 0.9977
225 10000 0.9984
226 10000 0.9984
227 10000 0.99775
228 10000 0.9973
229 10000 0.9979
230 10000 0.9982
231 10000 0.9984
232 10000 0.99855
233 10000 0.99855
234 10000 0.999
235 10000 0.9986
236 10000 0.99825
237 10000 0.9988
238 10000 0.9995
239 10000 0.99945
240 10000 0.9993
241 10000 0.9993
242 10000 0.9996
243 10000 0.9997
244 10000 0.99965
245 10000 0.9997
246 10000 0.99955
247 10000 0.9996
248 10000 0.9994
249 10000 0.99975
250 10000 1
