t n p
1 10000 0
2 10000 0
3 9936 0
4 9908 0
5 9846 0
6 9874 0
7 9980 0
8 9990 0
9 10000 0
10 9984 0
11 9930 0
12 9960 0
13 9996 0
14 10000 0
15 9822 0
16 9816 0
17 9994 0
18 9916 0
19 9814 5.09476e-05
20 9712 0
21 9764 0
22 9700 0
23 9636 0
24 9742 5.13242e-05
25 9742 0.000102648
26 9566 0.000209074
27 9624 0.000103907
28 9612 0.000416146
29 9566 0.000522685
30 9648 0.000103648
31 9620 0.00010395
32 9686 0
33 9804 0
34 9764 5.12085e-05
35 9590 0
36 9618 0
37 9658 0
38 9662 0
39 9664 0
40 9726 0
41 9792 0
42 9734 5.13663e-05
43 9568 5.22575e-05
44 9562 0
45 9666 0
46 9632 0
47 9516 0
48 9512 0
49 9642 0
50 9616 0
51 9672 0
52 9728 5.1398e-05
53 9724 0
54 9752 5.12715e-05
55 9786 0.000102187
56 9882 0.000151791
57 9928 0.000151088
58 9852 0.000203004
59 9728 0.000308388
60 9792 0.00025531
61 9806 0
62 9794 0
63 9670 0
64 9806 0
65 9800 0
66 9848 0
67 9706 5.15145e-05
68 9716 0
69 9706 0
70 9720 0
71 9664 5.17384e-05
72 9654 0.000103584
73 9574 5.22248e-05
74 9614 0.000156022
75 9568 0.000261288
76 9630 5.19211e-05
77 9574 5.22248e-05
78 9642 0.000155569
79 9506 0.000473385
80 9452 0.000423191
81 9456 0.000687394
82 9448 0.000687976
83 9548 0.000576037
84 9674 0.000671904
85 9742 0.000923835
86 9636 0.00134911
87 9682 0.000877918
88 9866 0.00101358
89 9808 0.00122349
90 9892 0.000505459
91 9938 0.000905615
92 9914 0.00105911
93 9868 0.00172274
94 9776 0.0017901
95 9752 0.00184578
96 9782 0.00173789
97 9748 0.00179524
98 9798 0.00224536
99 9754 0.00287062
100 9514 0.00331091
101 9488 0.0029511
102 9358 0.00347296
103 9366 0.00352338
104 9336 0.00407027
105 9078 0.00407579
106 9170 0.00348964
107 9132 0.00405169
108 9136 0.00404991
109 9148 0.0040446
110 9142 0.00464887
111 9016 0.00565661
112 8970 0.00668896
113 8866 0.00637266
114 8876 0.00642181
115 8858 0.00711221
116 8926 0.00705803
117 8904 0.00808625
118 8822 0.00753797
119 8820 0.00935374
120 8902 0.00932375
121 9012 0.00920994
122 8856 0.0106707
123 8832 0.0119452
124 8688 0.0145028
125 8698 0.0162681
126 8744 0.0171546
127 8726 0.0174765
128 8690 0.0221519
129 8578 0.0234903
130 8770 0.0283922
131 8986 0.0299355
132 9124 0.0281127
133 9070 0.0277839
134 9232 0.0302751
135 9048 0.0285698
136 9090 0.0286029
137 9196 0.0319704
138 9198 0.0338117
139 9180 0.032244
140 9368 0.0367208
141 9254 0.0397126
142 9286 0.0417295
143 9282 0.0455721
144 9190 0.0516866
145 9278 0.0591183
146 9402 0.0644012
147 9186 0.0677662
148 9296 0.0742793
149 9358 0.0797179
150 9526 0.0884946
151 9570 0.0920063
152 9780 0.0998466
153 9798 0.108338
154 9910 0.114178
155 10000 0.11565
156 10000 0.11955
157 10000 0.1227
158 10000 0.13115
159 10000 0.1456
160 10000 0.15485
161 10000 0.1581
162 10000 0.1638
163 10000 0.1721
164 10000 0.18755
165 10000 0.193
166 10000 0.2106
167 10000 0.21865
168 10000 0.23195
169 10000 0.2452
170 10000 0.2556
171 10000 0.27165
172 10000 0.28685
173 10000 0.3033
174 10000 0.31875
175 10000 0.33145
176 10000 0.33705
177 10000 0.34625
178 10000 0.36005
179 10000 0.3754
180 10000 0.39195
181 10000 0.4113
182 10000 0.43
183 10000 0.43855
184 10000 0.4516
185 10000 0.4703
186 10000 0.48655
187 10000 0.50335
188 10000 0.5164
189 10000 0.5306
190 10000 0.5528
191 10000 0.56305
192 10000 0.58125
193 10000 0.60225
194 10000 0.61765
195 10000 0.638
196 10000 0.661
197 10000 0.66975
198 10000 0.67405
199 10000 0.678
200 10000 0.6928
201 10000 0.70525
202 10000 0.71875
203 10000 0.73
204 10000 0.74135
205 10000 0.7549
206 10000 0.76905
207 10000 0.78105
208 10000 0.78955
209 10000 0.7936
210 10000 0.8007
211 10000 0.818
212 10000 0.826
213 10000 0.83465
214 10000 0.8479
215 10000 0.85515
216 10000 0.8618
217 10000 0.87385
218 10000 0.87695
219 10000 0.88755
220 10000 0.8895
221 10000 0.89255
222 10000 0.8941
223 10000 0.90435
224 10000 0.9138
225 10000 0.91845
226 10000 0.9235
227 10000 0.92915
228 10000 0.9385
229 10000 0.94485
230 10000 0.9462
231 10000 0.95115
232 10000 0.94955
233 10000 0.9558
234 10000 0.96005
235 10000 0.96425
236 10000 0.9672
237 10000 0.969
238 10000 0.9721
239 10000 0.9757
240 10000 0.97915
241 10000 0.9803
242 10000 0.97945
243 10000 0.97885
244 10000 0.9814
245 10000 0.98175
246 10000 0.9819
247 10000 0.98385
248 10000 0.985
249 10000 0.9861
250 10000 0.986
251 10000 0.9883
252 10000 0.99055
253 10000 0.99
254 10000 0.99145
255 10000 0.9927
256 10000 0.9938
257 10000 0.99555
258 10000 0.9953
259 10000 0.996
260 10000 0.99565
261 10000 0.99705
262 10000 0.9979
263 10000 0.9974
264 10000 0.99775
265 10000 0.9967
266 10000 0.9964
267 10000 0.996
268 10000 0.9955
269 10000 0.9958
270 10000 0.99565
271 10000 0.99635
272 10000 0.9968
273 10000 0.9971
274 10000 0.9978
275 10000 0.99805
276 10000 0.9969
277 10000 0.99615
278 10000 0.99665
279 10000 0.99685
280 10000 0.99675
281 10000 0.99685
282 10000 0.99635
283 10000 0.99625
284 10000 0.99655
285 10000 0.9966
286 10000 0.9964
287 10000 0.99725
288 10000 0.99715
289 10000 0.99765
290 10000 0.99675
291 10000 0.99575
292 10000 0.99535
293 10000 0.99555
294 10000 0.9952
295 10000 0.995
296 10000 0.995
297 10000 0.99495
298 10000 0.9949
299 10000 0.99515
300 10000 0.99485
301 10000 0.99545
302 10000 0.9953
303 10000 0.9966
304 10000 0.99705
305 10000 0.9971
306 10000 0.996
307 10000 0.9968
308 10000 0.99715
309 10000 0.998
310 10000 0.99785
311 10000 0.9978
312 10000 0.99775
313 10000 0.9979
314 10000 0.9978
315 10000 0.99755
316 10000 0.99695
317 10000 0.9975
318 10000 0.99825
319 10000 0.9988
320 10000 0.99885
321 10000 0.9987
322 10000 0.9992
323 10000 0.9993
324 10000 0.99955
325 10000 0.9991
326 10000 0.99935
327 10000 0.99925
328 10000 0.99925
329 10000 0.99975
330 10000 0.9999
331 10000 0.9998
332 10000 0.9998
333 10000 0.9998
334 10000 0.99955
335 10000 0.9997
336 10000 0.9995
337 10000 0.99945
338 10000 0.99995
339 10000 1
