t n p
1 10000 0
2 9460 5.28541e-05
3 8984 0
4 8474 0
5 8052 0
6 7670 0
7 7308 0
8 6956 0
9 6480 0
10 6112 0
11 5614 0
12 5384 0
13 5188 0
14 5116 0
15 4868 0
16 4674 0
17 4460 0
18 4278 0
19 4164 0
20 4000 0
21 3774 0
22 3662 0
23 3524 0
24 3240 0
25 3102 0
26 2950 0
27 2832 0
28 2680 0.000186567
29 2630 0.000760456
30 2502 0.00039968
31 2408 0.00145349
32 2264 0.000883392
33 2164 0.00184843
34 2040 0.00196078
35 1952 0.00256148
36 1836 0.00462963
37 1780 0.00393258
38 1586 0.00504414
39 1584 0.0072601
40 1522 0.00689882
41 1496 0.00935829
42 1376 0.0101744
43 1350 0.0111111
44 1290 0.0155039
45 1252 0.0211661
46 1184 0.0211149
47 1134 0.0185185
48 1044 0.0253831
49 910 0.0274725
50 902 0.0227273
51 882 0.0272109
52 828 0.0235507
53 810 0.0271605
54 762 0.0347769
55 728 0.0453297
56 654 0.0542813
57 604 0.0488411
58 594 0.0648148
59 542 0.0562731
60 548 0.0766423
61 522 0.0842912
62 492 0.0823171
63 464 0.0829741
64 434 0.0691244
65 392 0.0816327
66 396 0.0808081
67 376 0.0771277
68 410 0.0756098
69 416 0.0588942
70 416 0.0528846
71 406 0.0714286
72 426 0.0786385
73 400 0.085
74 406 0.108374
75 374 0.105615
76 310 0.0919355
77 284 0.0950704
78 300 0.113333
79 290 0.131034
80 282 0.138298
81 254 0.17126
82 274 0.156934
83 280 0.178571
84 268 0.173507
85 232 0.176724
86 236 0.201271
87 240 0.220833
88 252 0.248016
89 230 0.31087
90 244 0.305328
91 260 0.342308
92 284 0.367958
93 276 0.425725
94 290 0.441379
95 298 0.431208
96 300 0.481667
97 296 0.527027
98 306 0.575163
99 330 0.559091
100 358 0.628492
101 396 0.669192
102 414 0.669082
103 470 0.703191
104 514 0.697471
105 592 0.733108
106 656 0.75686
107 688 0.74782
108 776 0.779639
109 844 0.785545
110 914 0.769694
111 1018 0.804028
112 1108 0.830776
113 1202 0.855241
114 1388 0.872118
115 1560 0.876282
116 1722 0.887631
117 1934 0.899948
118 2160 0.912963
119 2362 0.919136
120 2668 0.925225
121 2882 0.932165
122 3328 0.941106
123 3800 0.951842
124 4436 0.958183
125 4966 0.961841
126 5746 0.960668
127 6598 0.960746
128 7426 0.961756
129 8398 0.964158
130 9510 0.963775
131 10000 0.96725
132 10000 0.9668
133 10000 0.96935
134 10000 0.97265
135 10000 0.9754
136 10000 0.97775
137 10000 0.97925
138 10000 0.9809
139 10000 0.9836
140 10000 0.98355
141 10000 0.98365
142 10000 0.9844
143 10000 0.98475
144 10000 0.9865
145 10000 0.9878
146 10000 0.9886
147 10000 0.98905
148 10000 0.99055
149 10000 0.99075
150 10000 0.99265
151 10000 0.9926
152 10000 0.99265
153 10000 0.993
154 10000 0.9939
155 10000 0.99505
156 10000 0.99375
157 10000 0.9947
158 10000 0.9948
159 10000 0.9954
160 10000 0.9963
161 10000 0.9966
162 10000 0.9964
163 10000 0.9963
164 10000 0.99655
165 10000 0.99655
166 10000 0.9969
167 10000 0.9972
168 10000 0.99765
169 10000 0.99845
170 10000 0.99875
171 10000 0.99895
172 10000 0.9991
173 10000 0.99895
174 10000 0.99855
175 10000 0.998
176 10000 0.9984
177 10000 0.99835
178 10000 0.99875
179 10000 0.99895
180 10000 0.99875
181 10000 0.9986
182 10000 0.9984
183 10000 0.9989
184 10000 0.99895
185 10000 0.99885
186 10000 0.9982
187 10000 0.9984
188 10000 0.99855
189 10000 0.99925
190 10000 0.9992
191 10000 0.9991
192 10000 0.9991
193 10000 0.9995
194 10000 0.99945
195 10000 0.9995
196 10000 0.9996
197 10000 0.99965
198 10000 0.99955
199 10000 0.9997
200 10000 0.9998
201 10000 0.9999
202 10000 1
