t n p
2 782 0.00895141
3 799 0.0150188
4 799 0.0162703
5 798 0.00877193
6 774 0.0129199
7 772 0.0129534
8 740 0.0162162
9 780 0.0192308
10 752 0.0319149
11 762 0.0354331
12 744 0.0383065
13 758 0.0402375
14 756 0.0403439
15 799 0.0463079
16 799 0.0438048
17 799 0.0381727
18 782 0.0421995
19 778 0.0437018
20 770 0.0428571
21 776 0.0431701
22 778 0.0526992
23 724 0.0531768
24 740 0.0682432
25 734 0.0728883
26 724 0.0745856
27 734 0.0987738
28 742 0.110512
29 766 0.0992167
30 734 0.110354
31 790 0.115823
32 799 0.12015
33 796 0.133166
34 799 0.150188
35 766 0.172977
36 764 0.196335
37 776 0.19201
38 799 0.20025
39 799 0.20776
40 796 0.230528
41 799 0.265332
42 799 0.254068
43 799 0.26408
44 799 0.29224
45 799 0.309136
46 799 0.327284
47 799 0.319775
48 799 0.314143
49 799 0.327284
50 799 0.326658
51 799 0.341051
52 799 0.378598
53 799 0.388611
54 799 0.40801
55 799 0.418648
56 799 0.42428
57 799 0.441176
58 799 0.45995
59 799 0.470588
60 799 0.489362
61 799 0.48811
62 799 0.52378
63 799 0.553817
64 799 0.573842
65 799 0.578223
66 799 0.583229
67 799 0.600125
68 799 0.627034
69 799 0.642053
70 799 0.710263
71 799 0.711514
72 799 0.732165
73 786 0.71883
74 799 0.730914
75 799 0.730288
76 799 0.726533
77 799 0.722778
78 799 0.745307
79 799 0.755319
80 799 0.765332
81 799 0.760325
82 799 0.751564
83 799 0.759074
84 799 0.754693
85 799 0.744055
86 799 0.730914
87 799 0.74781
88 799 0.749061
89 799 0.746558
90 799 0.770964
91 799 0.80413
92 799 0.817897
93 799 0.841051
94 799 0.860451
95 799 0.861076
96 799 0.872966
97 799 0.885482
98 799 0.894243
99 799 0.906133
100 799 0.899875
101 799 0.899249
102 799 0.914894
103 799 0.9199
104 799 0.911765
105 799 0.923655
106 799 0.926783
107 799 0.930538
108 799 0.928661
109 799 0.939299
110 799 0.935544
111 799 0.954944
112 799 0.949937
113 799 0.951189
114 799 0.940551
115 799 0.941802
116 799 0.930538
117 799 0.939299
118 799 0.945557
119 799 0.934293
120 799 0.942428
121 799 0.945557
122 799 0.950563
123 799 0.949937
124 799 0.949312
125 799 0.945557
126 799 0.944305
127 799 0.929912
128 799 0.936796
129 799 0.934919
130 799 0.937422
131 799 0.936796
132 799 0.94806
133 799 0.959324
134 799 0.951815
135 799 0.949937
136 799 0.958698
137 799 0.96433
138 799 0.966208
139 799 0.969962
140 799 0.97184
141 799 0.974343
142 799 0.970588
143 799 0.968085
144 799 0.972466
145 799 0.977472
146 799 0.980601
147 799 0.986859
148 799 0.987484
149 799 0.989987
150 799 0.985607
151 799 0.988736
152 799 0.992491
153 799 0.993116
154 799 0.987484
155 799 0.986233
156 799 0.984355
157 799 0.981227
158 799 0.984355
159 799 0.986233
160 799 0.989362
161 799 0.984981
162 799 0.992491
163 799 0.993116
164 799 0.998748
165 799 0.997497
166 799 0.999374
167 799 0.998748
168 799 0.998123
169 799 0.99562
170 799 0.996871
171 799 0.99562
172 799 0.994994
173 799 0.996871
174 799 0.998748
175 799 0.996245
176 799 0.998123
177 799 0.998748
178 799 0.998748
179 799 0.999374
180 799 1
