t n p
2 799 0.0068836
3 799 0.00312891
4 780 0.00192308
5 792 0.00126263
6 754 0.00066313
7 796 0.00188442
8 799 0.00312891
9 776 0.00064433
10 742 0.00134771
11 732 0.00068306
12 700 0.00142857
13 672 0.00223214
14 670 0.00223881
15 686 0.00437318
16 700 0.00285714
17 722 0.00415512
18 728 0.00824176
19 692 0.0108382
20 734 0.00817439
21 754 0.00994695
22 742 0.00876011
23 722 0.0124654
24 686 0.0102041
25 688 0.0101744
26 682 0.0131965
27 720 0.01875
28 728 0.0240385
29 776 0.0225515
30 799 0.0269086
31 782 0.0300512
32 799 0.034418
33 790 0.0373418
34 799 0.0406758
35 799 0.0369212
36 758 0.0336412
37 768 0.0286458
38 782 0.0319693
39 780 0.0326923
40 758 0.0257256
41 784 0.0299745
42 784 0.0293367
43 799 0.0281602
44 792 0.0340909
45 788 0.0374365
46 792 0.0416667
47 792 0.0460859
48 766 0.0522193
49 746 0.0495979
50 724 0.058011
51 672 0.0543155
52 664 0.0579819
53 666 0.0585586
54 618 0.0582524
55 588 0.0714286
56 596 0.0629195
57 606 0.0635314
58 612 0.0604575
59 630 0.0690476
60 618 0.0728155
61 628 0.0820064
62 624 0.0793269
63 584 0.0856164
64 538 0.0845725
65 534 0.088015
66 520 0.0971154
67 496 0.109879
68 514 0.117704
69 550 0.13
70 578 0.137543
71 630 0.126984
72 694 0.151297
73 722 0.169668
74 752 0.168218
75 799 0.18398
76 799 0.193992
77 799 0.18836
78 794 0.191436
79 799 0.203379
80 799 0.21965
81 799 0.219024
82 760 0.217763
83 798 0.244987
84 796 0.228015
85 799 0.231539
86 799 0.220901
87 799 0.232791
88 780 0.217308
89 799 0.225907
90 799 0.22403
91 799 0.227159
92 799 0.236546
93 799 0.244681
94 799 0.2597
95 799 0.285982
96 799 0.307885
97 799 0.332916
98 799 0.364205
99 799 0.378598
100 799 0.41239
101 799 0.432416
102 799 0.468085
103 799 0.458698
104 799 0.459324
105 799 0.477472
106 799 0.482478
107 799 0.483104
108 799 0.510638
109 799 0.545682
110 799 0.54005
111 799 0.543179
112 799 0.582603
113 799 0.62766
114 799 0.620776
115 799 0.610138
116 799 0.635795
117 799 0.662703
118 799 0.685232
119 799 0.689612
120 799 0.70025
121 799 0.692741
122 799 0.710889
123 799 0.738423
124 799 0.728411
125 799 0.719024
126 799 0.734043
127 799 0.744681
128 799 0.757822
129 799 0.74781
130 799 0.741552
131 799 0.734668
132 799 0.7597
133 799 0.806633
134 799 0.821026
135 799 0.836045
136 799 0.846683
137 799 0.852315
138 799 0.854193
139 799 0.850438
140 799 0.862328
141 799 0.87985
142 799 0.881727
143 799 0.891114
144 799 0.900501
145 799 0.910513
146 799 0.916771
147 799 0.913016
148 799 0.911139
149 799 0.929912
150 799 0.935544
151 799 0.94368
152 799 0.93617
153 799 0.954318
154 799 0.954944
155 799 0.954318
156 799 0.949937
157 799 0.954944
158 799 0.952441
159 799 0.961827
160 799 0.968085
161 799 0.967459
162 799 0.971214
163 799 0.971214
164 799 0.975594
165 799 0.971214
166 799 0.97622
167 799 0.967459
168 799 0.971214
169 799 0.966208
170 799 0.97184
171 799 0.97622
172 799 0.986859
173 799 0.991865
174 799 0.990613
175 799 0.989987
176 799 0.991239
177 799 0.990613
178 799 0.987484
179 799 0.991865
180 799 0.994994
181 799 0.99562
182 799 0.998123
183 799 0.997497
184 799 0.99562
185 799 0.997497
186 799 0.998748
187 799 0.998748
188 799 0.998123
189 799 0.998123
190 799 1
