t n p
1 2945 0.00169779
2 2945 0.00186757
3 2808 0.00391738
4 2738 0.00346969
5 2658 0.00432656
6 2700 0.00722222
7 2622 0.00667429
8 2502 0.00739408
9 2592 0.00906636
10 2614 0.00822494
11 2756 0.00780116
12 2622 0.00781846
13 2554 0.006852
14 2566 0.00740452
15 2558 0.00723221
16 2544 0.0096305
17 2644 0.00586233
18 2610 0.00670498
19 2662 0.00676183
20 2692 0.00761516
21 2650 0.00792453
22 2666 0.00750188
23 2628 0.00627854
24 2592 0.00617284
25 2578 0.00543057
26 2668 0.00618441
27 2604 0.00614439
28 2614 0.00631217
29 2728 0.00769795
30 2756 0.00562409
31 2750 0.00509091
32 2758 0.00797679
33 2726 0.00825385
34 2650 0.00924528
35 2692 0.0120728
36 2752 0.0165334
37 2736 0.0158991
38 2708 0.0212334
39 2798 0.02198
40 2826 0.0249469
41 2798 0.0285919
42 2836 0.0297955
43 2860 0.0325175
44 2780 0.0311151
45 2760 0.0311594
46 2848 0.0326545
47 2882 0.0373005
48 2930 0.0419795
49 2945 0.0424448
50 2945 0.044652
51 2880 0.0409722
52 2912 0.0417239
53 2926 0.0451128
54 2914 0.0483871
55 2945 0.0495756
56 2944 0.0582541
57 2945 0.0689304
58 2945 0.0748727
59 2945 0.0804754
60 2910 0.0914089
61 2918 0.102981
62 2945 0.109168
63 2945 0.121902
64 2945 0.132767
65 2945 0.159083
66 2945 0.171138
67 2945 0.174873
68 2945 0.188964
69 2945 0.217487
70 2945 0.237012
71 2945 0.252971
72 2945 0.263497
73 2945 0.282683
74 2945 0.302716
75 2945 0.332428
76 2945 0.348557
77 2945 0.376061
78 2945 0.391171
79 2945 0.392869
80 2945 0.417657
81 2945 0.444652
82 2945 0.468251
83 2945 0.480306
84 2945 0.504754
85 2945 0.543294
86 2945 0.566893
87 2945 0.580815
88 2945 0.586757
89 2945 0.619525
90 2945 0.639219
91 2945 0.672666
92 2945 0.693209
93 2945 0.709508
94 2945 0.727504
95 2945 0.750764
96 2945 0.766384
97 2945 0.78489
98 2945 0.797453
99 2945 0.805263
100 2945 0.814601
101 2945 0.819525
102 2945 0.826316
103 2945 0.839219
104 2945 0.852632
105 2945 0.864686
106 2945 0.86927
107 2945 0.875212
108 2945 0.873005
109 2945 0.883362
110 2945 0.887776
111 2945 0.892869
112 2945 0.904754
113 2945 0.906452
114 2945 0.915959
115 2945 0.925127
116 2945 0.933277
117 2945 0.939219
118 2945 0.941256
119 2945 0.949745
120 2945 0.955348
121 2945 0.954329
122 2945 0.954669
123 2945 0.958234
124 2945 0.960441
125 2945 0.964856
126 2945 0.966214
127 2945 0.966723
128 2945 0.973684
129 2945 0.974363
130 2945 0.979796
131 2945 0.979796
132 2945 0.982343
133 2945 0.983701
134 2945 0.986248
135 2945 0.987436
136 2945 0.989474
137 2945 0.989134
138 2945 0.988455
139 2945 0.991851
140 2945 0.991341
141 2945 0.990832
142 2945 0.99253
143 2945 0.993888
144 2945 0.991171
145 2945 0.990832
146 2945 0.99219
147 2945 0.994058
148 2945 0.993209
149 2945 0.995246
150 2945 0.994737
151 2945 0.996435
152 2945 0.997453
153 2945 0.996095
154 2945 0.996774
155 2945 0.996774
156 2945 0.997623
157 2945 0.998302
158 2945 0.999491
159 2945 0.999321
160 2945 0.999321
161 2945 0.998981
162 2945 0.999151
163 2945 0.99983
164 2945 0.99966
165 2945 0.999491
166 2945 0.999491
167 2945 0.999321
168 2945 0.99983
169 2945 1
