t n p
1 9594 0
2 9028 0
3 8648 0
4 8284 0
5 7710 0
6 7364 0
7 7048 0
8 6592 0
9 6288 7.95165e-05
10 5990 0
11 5744 0
12 5392 0
13 5106 9.7924e-05
14 4930 0.00030426
15 4610 0.00021692
16 4462 0
17 4274 0
18 4038 0
19 3800 0
20 3642 0
21 3588 0
22 3408 0
23 3274 0
24 3038 0
25 2922 0
26 2822 0
27 2674 0
28 2446 0
29 2388 0
30 2268 0
31 2216 0
32 2060 0
33 1986 0
34 1856 0
35 1722 0
36 1588 0
37 1482 0
38 1400 0
39 1380 0
40 1298 0
41 1252 0
42 1148 0
43 1094 0
44 1026 0
45 966 0
46 988 0.000506073
47 954 0
48 954 0.000524109
49 930 0
50 906 0.000551876
51 872 0.00229358
52 822 0.00486618
53 770 0.00324675
54 746 0.00603217
55 720 0.0118056
56 664 0.0150602
57 628 0.0175159
58 668 0.0127246
59 628 0.0151274
60 568 0.0123239
61 498 0.00803213
62 440 0.00113636
63 428 0
64 410 0
65 386 0
66 374 0
67 336 0
68 316 0
69 306 0
70 292 0
71 276 0
72 248 0
73 246 0
74 250 0
75 252 0
76 248 0
77 228 0
78 204 0.00245098
79 202 0.00742574
80 182 0.00824176
81 164 0.00609756
82 154 0.00974026
83 148 0.0304054
84 122 0.0204918
85 98 0.0357143
86 94 0.0106383
87 88 0.00568182
88 72 0
89 72 0
90 74 0
91 76 0.00657895
92 76 0.00657895
93 82 0.0243902
94 76 0.0328947
95 72 0.0208333
96 62 0.0645161
97 52 0.0673077
98 44 0.113636
99 38 0.105263
100 32 0.140625
101 28 0.142857
102 30 0.1
103 22 0.0909091
104 24 0.104167
105 26 0.0769231
106 28 0.107143
107 30 0.166667
108 16 0.125
109 16 0.25
110 18 0.277778
111 18 0.361111
112 20 0.3
113 22 0.25
114 28 0.321429
115 36 0.277778
116 30 0.416667
117 32 0.53125
118 40 0.5
119 28 0.446429
120 28 0.446429
121 24 0.583333
122 28 0.5
123 22 0.545455
124 24 0.75
125 18 0.833333
126 20 0.825
127 22 0.886364
128 30 0.933333
129 44 0.943182
130 44 0.875
131 46 0.923913
132 58 0.956897
133 58 0.991379
134 74 1
135 70 1
136 68 1
137 74 1
138 72 1
139 70 1
140 72 1
141 78 1
142 76 1
143 86 1
144 90 1
145 82 1
146 78 1
147 80 1
148 82 1
149 102 1
150 106 1
151 112 1
152 128 1
153 144 1
154 144 1
155 166 1
156 190 1
157 184 1
158 202 1
159 222 1
160 246 1
161 274 1
162 296 1
163 316 1
164 322 1
165 336 1
166 378 1
167 398 1
168 422 1
169 446 1
170 468 1
171 516 1
172 550 1
173 590 1
174 644 1
175 696 1
176 746 1
177 824 1
178 922 1
179 970 1
180 1078 1
181 1134 1
182 1240 1
183 1278 1
184 1410 1
185 1560 1
186 1644 1
187 1748 1
188 1926 1
189 2132 1
190 2306 1
191 2572 1
192 2838 1
193 2998 1
194 3322 1
195 3606 1
196 3904 1
197 4126 1
198 4428 1
199 4836 1
200 5202 1
201 5580 1
202 6110 1
203 6544 1
204 7002 1
205 7536 1
206 8010 1
207 8742 1
208 9488 1
209 10000 1
