t n p
0 10000 0
1 10000 0.0001
2 10000 0.00025
3 10000 0.00035
4 10000 0.0003
5 10000 0.0004
6 10000 0.00025
7 9948 0.000552875
8 9910 0.000302725
9 9932 0.000201369
10 10000 0.0002
11 10000 0.0002
12 9960 0.000200803
13 10000 0.0002
14 9910 0.000302725
15 9984 0.000400641
16 9848 0.000507717
17 10000 0.00045
18 10000 0.00045
19 10000 0.001
20 10000 0.00135
21 10000 0.00155
22 10000 0.0011
23 10000 0.0013
24 9814 0.00193601
25 9812 0.00147778
26 9970 0.00195587
27 10000 0.002
28 9918 0.00267191
29 9874 0.00344339
30 9820 0.00386965
31 9876 0.00394897
32 9918 0.00574713
33 10000 0.00635
34 10000 0.00655
35 9860 0.0076572
36 9704 0.00958368
37 9822 0.00814498
38 9742 0.00790392
39 9784 0.00873876
40 9950 0.0101508
41 10000 0.01185
42 9992 0.0124099
43 9818 0.0125789
44 9860 0.0131846
45 9984 0.0160757
46 9922 0.0157226
47 9958 0.0180257
48 9984 0.0211338
49 10000 0.02425
50 10000 0.02855
51 10000 0.03015
52 9986 0.0326457
53 9984 0.0321514
54 10000 0.0341
55 10000 0.0388
56 10000 0.0429
57 10000 0.0475
58 10000 0.0504
59 9964 0.0571056
60 10000 0.06375
61 10000 0.06595
62 10000 0.07405
63 10000 0.07815
64 10000 0.0814
65 10000 0.0873
66 10000 0.09725
67 10000 0.1068
68 10000 0.1195
69 10000 0.12825
70 10000 0.13885
71 10000 0.1559
72 10000 0.1709
73 10000 0.1799
74 10000 0.198
75 10000 0.21
76 10000 0.2273
77 10000 0.24215
78 10000 0.25915
79 10000 0.27695
80 10000 0.30125
81 10000 0.3126
82 10000 0.3336
83 10000 0.3577
84 10000 0.37685
85 10000 0.4021
86 10000 0.42555
87 10000 0.44755
88 10000 0.47685
89 10000 0.4964
90 10000 0.5159
91 10000 0.5421
92 10000 0.56405
93 10000 0.57875
94 10000 0.59815
95 10000 0.6215
96 10000 0.6469
97 10000 0.66745
98 10000 0.68875
99 10000 0.7044
100 10000 0.72025
101 10000 0.7428
102 10000 0.7675
103 10000 0.78815
104 10000 0.8089
105 10000 0.82125
106 10000 0.83295
107 10000 0.8472
108 10000 0.86225
109 10000 0.8744
110 10000 0.88275
111 10000 0.8929
112 10000 0.90505
113 10000 0.9108
114 10000 0.9204
115 10000 0.92765
116 10000 0.93605
117 10000 0.94635
118 10000 0.9533
119 10000 0.9593
120 10000 0.96705
121 10000 0.9703
122 10000 0.97225
123 10000 0.9756
124 10000 0.97765
125 10000 0.9793
126 10000 0.97995
127 10000 0.9821
128 10000 0.98335
129 10000 0.9808
130 10000 0.9818
131 10000 0.986
132 10000 0.98665
133 10000 0.98695
134 10000 0.98765
135 10000 0.9908
136 10000 0.9914
137 10000 0.992
138 10000 0.99275
139 10000 0.99345
140 10000 0.99445
141 10000 0.995
142 10000 0.99485
143 10000 0.9944
144 10000 0.99535
145 10000 0.9957
146 10000 0.99655
147 10000 0.99715
148 10000 0.9983
149 10000 0.99865
150 10000 0.99915
151 10000 0.99935
152 10000 0.99925
153 10000 0.99935
154 10000 0.99965
155 10000 0.9998
156 10000 0.9995
157 10000 0.9997
158 10000 0.99995
159 10000 0.9999
160 10000 0.99995
161 10000 1
