t n p
0 10000 0
1 9890 0.000101112
2 10000 0.00015
3 9892 0.000252729
4 9990 0.0002002
5 10000 0.00045
6 10000 0.0005
7 9994 0.00120072
8 10000 0.00115
9 10000 0.0017
10 9940 0.002666
11 9904 0.00373586
12 10000 0.00335
13 10000 0.00295
14 9932 0.0039267
15 9946 0.00522823
16 10000 0.0065
17 10000 0.0076
18 10000 0.0074
19 10000 0.0088
20 9910 0.00968718
21 9870 0.0103343
22 9890 0.0113751
23 9898 0.0130835
24 9992 0.0148118
25 9868 0.015454
26 9614 0.0162263
27 9518 0.018859
28 9586 0.0182036
29 9438 0.0177474
30 9542 0.020174
31 9644 0.0232787
32 9488 0.0271395
33 9564 0.0323087
34 9732 0.0374024
35 9852 0.0391291
36 9814 0.0416242
37 9848 0.0456438
38 9858 0.0482857
39 9878 0.0532496
40 10000 0.05795
41 10000 0.0651
42 9956 0.0678485
43 10000 0.07545
44 10000 0.0852
45 10000 0.09185
46 10000 0.09815
47 10000 0.10355
48 10000 0.11265
49 10000 0.12325
50 10000 0.13335
51 10000 0.1405
52 10000 0.15175
53 10000 0.1595
54 10000 0.17415
55 10000 0.18705
56 10000 0.20695
57 10000 0.2206
58 10000 0.23915
59 10000 0.2567
60 10000 0.27345
61 10000 0.2908
62 10000 0.31115
63 10000 0.33255
64 10000 0.3578
65 10000 0.3798
66 10000 0.4025
67 10000 0.4236
68 10000 0.45015
69 10000 0.47615
70 10000 0.49725
71 10000 0.5232
72 10000 0.54565
73 10000 0.56695
74 10000 0.5816
75 10000 0.60935
76 10000 0.63135
77 10000 0.65195
78 10000 0.6693
79 10000 0.68935
80 10000 0.7028
81 10000 0.72215
82 10000 0.74015
83 10000 0.7565
84 10000 0.77045
85 10000 0.7888
86 10000 0.79785
87 10000 0.80615
88 10000 0.81765
89 10000 0.832
90 10000 0.8411
91 10000 0.8529
92 10000 0.86705
93 10000 0.872
94 10000 0.88085
95 10000 0.8939
96 10000 0.9055
97 10000 0.9126
98 10000 0.91865
99 10000 0.9249
100 10000 0.93075
101 10000 0.93635
102 10000 0.94235
103 10000 0.9478
104 10000 0.9513
105 10000 0.95765
106 10000 0.96325
107 10000 0.96755
108 10000 0.96875
109 10000 0.97245
110 10000 0.9739
111 10000 0.977
112 10000 0.97885
113 10000 0.9814
114 10000 0.98395
115 10000 0.9847
116 10000 0.9869
117 10000 0.98895
118 10000 0.98875
119 10000 0.9899
120 10000 0.99195
121 10000 0.9922
122 10000 0.99295
123 10000 0.99435
124 10000 0.99545
125 10000 0.9961
126 10000 0.99595
127 10000 0.9964
128 10000 0.9972
129 10000 0.9967
130 10000 0.9966
131 10000 0.9955
132 10000 0.99595
133 10000 0.99625
134 10000 0.99595
135 10000 0.9957
136 10000 0.99645
137 10000 0.99695
138 10000 0.9977
139 10000 0.997
140 10000 0.9974
141 10000 0.9977
142 10000 0.9976
143 10000 0.9978
144 10000 0.9977
145 10000 0.9976
146 10000 0.9981
147 10000 0.99855
148 10000 0.9985
149 10000 0.9984
150 10000 0.9985
151 10000 0.99855
152 10000 0.99835
153 10000 0.99795
154 10000 0.9979
155 10000 0.99775
156 10000 0.99785
157 10000 0.9984
158 10000 0.9978
159 10000 0.99795
160 10000 0.99765
161 10000 0.998
162 10000 0.9981
163 10000 0.9982
164 10000 0.99845
165 10000 0.9986
166 10000 0.99925
167 10000 0.9994
168 10000 0.9995
169 10000 0.99965
170 10000 0.9998
171 10000 0.9997
172 10000 0.9998
173 10000 0.9998
174 10000 0.99985
175 10000 0.99995
176 10000 0.99995
177 10000 0.99995
178 10000 0.99985
179 10000 0.99985
180 10000 0.99995
181 10000 1
