t n p
1 10000 0
2 9916 0.000100847
3 9974 0.000250652
4 9832 0.000305126
5 9810 0.00030581
6 9782 0.000460029
7 9738 0.000410762
8 9976 0.000150361
9 9936 0
10 9878 5.06175e-05
11 9814 5.09476e-05
12 9854 0.000152222
13 9784 0.000255519
14 9848 0.000253859
15 9906 0.000403796
16 9836 0.00055917
17 9944 0.00100563
18 9962 0.000953624
19 9854 0.000862594
20 9942 0.000754375
21 9850 0.00126904
22 9892 0.00237566
23 9916 0.00327753
24 9754 0.00338323
25 9696 0.00345503
26 9748 0.00374436
27 9764 0.00445514
28 10000 0.0052
29 9900 0.00585859
30 10000 0.0055
31 10000 0.0061
32 10000 0.00655
33 10000 0.0084
34 9958 0.00959028
35 9916 0.0110428
36 9888 0.0122371
37 9860 0.012931
38 9738 0.0128877
39 9606 0.0138455
40 9656 0.0155862
41 9798 0.0166871
42 9956 0.0163218
43 9894 0.0185971
44 9966 0.0213225
45 10000 0.02195
46 10000 0.02515
47 9992 0.0279223
48 10000 0.03195
49 9796 0.0354737
50 9676 0.0416494
51 9852 0.0471985
52 10000 0.0551
53 10000 0.06135
54 10000 0.0679
55 10000 0.0761
56 10000 0.0828
57 10000 0.0889
58 10000 0.1003
59 10000 0.11025
60 10000 0.1193
61 10000 0.13
62 10000 0.1375
63 10000 0.1453
64 10000 0.15725
65 10000 0.165
66 10000 0.1774
67 10000 0.1922
68 10000 0.2097
69 10000 0.2266
70 10000 0.2448
71 10000 0.25735
72 10000 0.28655
73 10000 0.3077
74 10000 0.3283
75 10000 0.34935
76 10000 0.3634
77 10000 0.38465
78 10000 0.4106
79 10000 0.42905
80 10000 0.4447
81 10000 0.4739
82 10000 0.4963
83 10000 0.5232
84 10000 0.54465
85 10000 0.56515
86 10000 0.5927
87 10000 0.62235
88 10000 0.6446
89 10000 0.67375
90 10000 0.6997
91 10000 0.7257
92 10000 0.74765
93 10000 0.75935
94 10000 0.7809
95 10000 0.79415
96 10000 0.81405
97 10000 0.82825
98 10000 0.83755
99 10000 0.85685
100 10000 0.86965
101 10000 0.8808
102 10000 0.88445
103 10000 0.89385
104 10000 0.90145
105 10000 0.908
106 10000 0.91975
107 10000 0.9231
108 10000 0.93025
109 10000 0.9394
110 10000 0.94005
111 10000 0.9482
112 10000 0.95005
113 10000 0.95135
114 10000 0.9566
115 10000 0.961
116 10000 0.96605
117 10000 0.9701
118 10000 0.97365
119 10000 0.97745
120 10000 0.97855
121 10000 0.97885
122 10000 0.98095
123 10000 0.9847
124 10000 0.9886
125 10000 0.99
126 10000 0.9904
127 10000 0.99105
128 10000 0.99225
129 10000 0.99265
130 10000 0.99375
131 10000 0.9953
132 10000 0.99585
133 10000 0.9967
134 10000 0.99665
135 10000 0.99715
136 10000 0.99715
137 10000 0.9975
138 10000 0.9974
139 10000 0.99685
140 10000 0.99755
141 10000 0.998
142 10000 0.99785
143 10000 0.99815
144 10000 0.9984
145 10000 0.9989
146 10000 0.99935
147 10000 0.99945
148 10000 0.9994
149 10000 0.99915
150 10000 0.99925
151 10000 0.99915
152 10000 0.9992
153 10000 0.99925
154 10000 0.9995
155 10000 0.9998
156 10000 0.9999
157 10000 0.99995
158 10000 1
