t n p
1 10000 0
2 9938 0.000100624
3 10000 0.00025
4 9988 0.00030036
5 10000 0.0003
6 10000 0.0005
7 10000 0.0008
8 9980 0.00135271
9 9972 0.000651825
10 10000 0.00085
11 10000 0.00165
12 9848 0.00248781
13 9874 0.0025319
14 9876 0.00192386
15 9912 0.0025222
16 9816 0.00224124
17 9782 0.0025046
18 9682 0.00206569
19 9718 0.00241819
20 9674 0.00227414
21 9608 0.00270608
22 9588 0.00302461
23 9508 0.00336559
24 9544 0.00293378
25 9614 0.0034845
26 9854 0.00334889
27 9852 0.00334957
28 9802 0.00397878
29 9660 0.00383023
30 9620 0.004158
31 9658 0.0044005
32 9630 0.00488058
33 9520 0.00535714
34 9502 0.00526205
35 9270 0.00544768
36 9074 0.00589597
37 9150 0.00606557
38 9070 0.00644983
39 8916 0.00897263
40 8916 0.00858008
41 8960 0.00987723
42 9038 0.0116176
43 8926 0.01406
44 9004 0.017159
45 9280 0.0186422
46 9414 0.0221479
47 9330 0.0247588
48 9294 0.0282978
49 9312 0.0308204
50 9514 0.0309544
51 9540 0.0344864
52 9662 0.0375181
53 9692 0.0425609
54 9758 0.045911
55 9860 0.0503043
56 9702 0.0566378
57 9772 0.0626279
58 9782 0.0665508
59 9996 0.0710784
60 10000 0.07845
61 10000 0.085
62 10000 0.0953
63 10000 0.09845
64 10000 0.11255
65 10000 0.12485
66 10000 0.1389
67 10000 0.1471
68 10000 0.1591
69 10000 0.17375
70 10000 0.19025
71 10000 0.20055
72 10000 0.21155
73 10000 0.2265
74 10000 0.23905
75 10000 0.2565
76 10000 0.27095
77 10000 0.28605
78 10000 0.3062
79 10000 0.32555
80 10000 0.35305
81 10000 0.3734
82 10000 0.39955
83 10000 0.4199
84 10000 0.4436
85 10000 0.46955
86 10000 0.4914
87 10000 0.5149
88 10000 0.53965
89 10000 0.5619
90 10000 0.5802
91 10000 0.60525
92 10000 0.62965
93 10000 0.6495
94 10000 0.67175
95 10000 0.692
96 10000 0.7116
97 10000 0.72475
98 10000 0.7378
99 10000 0.7539
100 10000 0.7709
101 10000 0.78625
102 10000 0.8025
103 10000 0.8212
104 10000 0.8343
105 10000 0.8416
106 10000 0.8555
107 10000 0.8672
108 10000 0.88135
109 10000 0.8869
110 10000 0.89735
111 10000 0.90475
112 10000 0.90915
113 10000 0.91405
114 10000 0.923
115 10000 0.92995
116 10000 0.94035
117 10000 0.94665
118 10000 0.9518
119 10000 0.95595
120 10000 0.9604
121 10000 0.96455
122 10000 0.96775
123 10000 0.97095
124 10000 0.97525
125 10000 0.97915
126 10000 0.98235
127 10000 0.98435
128 10000 0.98465
129 10000 0.986
130 10000 0.9855
131 10000 0.9871
132 10000 0.98955
133 10000 0.99105
134 10000 0.99165
135 10000 0.992
136 10000 0.9927
137 10000 0.99375
138 10000 0.99415
139 10000 0.99525
140 10000 0.9953
141 10000 0.9962
142 10000 0.99625
143 10000 0.99645
144 10000 0.9975
145 10000 0.99785
146 10000 0.99855
147 10000 0.9987
148 10000 0.99925
149 10000 0.99885
150 10000 0.9986
151 10000 0.9986
152 10000 0.99825
153 10000 0.99735
154 10000 0.99715
155 10000 0.99805
156 10000 0.99905
157 10000 0.99895
158 10000 0.9988
159 10000 0.99915
160 10000 0.9993
161 10000 0.99955
162 10000 0.9998
163 10000 0.99945
164 10000 0.99975
165 10000 0.99955
166 10000 0.99965
167 10000 0.9997
168 10000 0.99995
169 10000 0.99995
170 10000 1
