t n p
1 9364 5.3396e-05
2 8794 0
3 8420 0
4 8072 0
5 7682 0
6 7214 0
7 6850 0
8 6630 0
9 6342 0
10 5978 0
11 5750 0
12 5466 9.14746e-05
13 5194 0.000288795
14 4996 0.00070056
15 4696 0.000425894
16 4398 0.000682128
17 4150 0.00168675
18 3962 0.00239778
19 3724 0.00134264
20 3624 0.00193157
21 3418 0.0019017
22 3192 0.00234962
23 3014 0.0044791
24 2880 0.00590278
25 2788 0.0104017
26 2642 0.00851628
27 2540 0.00925197
28 2412 0.00912106
29 2316 0.0103627
30 2210 0.011086
31 2116 0.0122873
32 2014 0.0121648
33 1876 0.0101279
34 1878 0.0085197
35 1770 0.010452
36 1658 0.0105549
37 1588 0.013539
38 1468 0.0139646
39 1400 0.0189286
40 1364 0.0245601
41 1276 0.0254702
42 1184 0.0325169
43 1130 0.0402655
44 1142 0.0437828
45 1090 0.0518349
46 1064 0.0549812
47 1064 0.0512218
48 958 0.0506263
49 944 0.059322
50 874 0.055492
51 822 0.0748175
52 808 0.0816832
53 732 0.0860656
54 722 0.0692521
55 714 0.087535
56 698 0.0902579
57 654 0.0909786
58 622 0.114148
59 588 0.0960884
60 548 0.105839
61 498 0.109438
62 464 0.107759
63 462 0.132035
64 466 0.141631
65 450 0.141111
66 458 0.139738
67 448 0.120536
68 454 0.128855
69 406 0.184729
70 360 0.208333
71 350 0.2
72 350 0.222857
73 332 0.269578
74 352 0.302557
75 362 0.334254
76 360 0.359722
77 384 0.385417
78 414 0.365942
79 398 0.389447
80 396 0.412879
81 394 0.413706
82 410 0.423171
83 398 0.442211
84 420 0.5
85 478 0.488494
86 528 0.483902
87 544 0.474265
88 560 0.505357
89 594 0.526936
90 614 0.547231
91 664 0.542169
92 700 0.559286
93 752 0.59109
94 772 0.610104
95 808 0.652847
96 902 0.680155
97 948 0.719409
98 1046 0.76673
99 1146 0.793194
100 1220 0.791803
101 1348 0.80638
102 1468 0.821866
103 1652 0.82839
104 1810 0.839779
105 2060 0.85
106 2330 0.852146
107 2656 0.87067
108 3028 0.882266
109 3412 0.899326
110 3806 0.906595
111 4240 0.919458
112 4816 0.931478
113 5442 0.94129
114 5940 0.942003
115 6514 0.943123
116 7338 0.949714
117 8214 0.954042
118 9300 0.955323
119 10000 0.9607
120 10000 0.96415
121 10000 0.96805
122 10000 0.97065
123 10000 0.9731
124 10000 0.9739
125 10000 0.97675
126 10000 0.9781
127 10000 0.97895
128 10000 0.98035
129 10000 0.9812
130 10000 0.98425
131 10000 0.98615
132 10000 0.9872
133 10000 0.98955
134 10000 0.9899
135 10000 0.9909
136 10000 0.992
137 10000 0.9937
138 10000 0.9952
139 10000 0.9959
140 10000 0.996
141 10000 0.99725
142 10000 0.9977
143 10000 0.99835
144 10000 0.99895
145 10000 0.9991
146 10000 0.999
147 10000 0.99885
148 10000 0.99865
149 10000 0.9993
150 10000 0.99955
151 10000 0.99965
152 10000 0.99945
153 10000 0.9992
154 10000 0.9993
155 10000 0.99915
156 10000 0.99895
157 10000 0.9991
158 10000 0.9991
159 10000 0.9995
160 10000 0.9994
161 10000 0.99945
162 10000 0.99935
163 10000 0.999
164 10000 0.99855
165 10000 0.99905
166 10000 0.9996
167 10000 0.99985
168 10000 0.99985
169 10000 0.9999
170 10000 1
