t n p
1 10000 0
2 9404 0.000106338
3 8854 5.64717e-05
4 8336 5.99808e-05
5 7868 0.000127097
6 7594 0.000131683
7 7122 0.00042123
8 6660 0.0003003
9 6170 0.000162075
10 5902 0.000338868
11 5618 0.00133499
12 5354 0.00121405
13 5050 0.000693069
14 4974 0.000804182
15 4674 0.00106975
16 4484 0.00156111
17 4194 0.00119218
18 3868 0.00103413
19 3748 0.00133404
20 3632 0.00206498
21 3498 0.00300172
22 3264 0.00306373
23 3130 0.00335463
24 2944 0.00373641
25 2812 0.00657895
26 2702 0.0053664
27 2548 0.00431711
28 2524 0.00356577
29 2400 0.00333333
30 2302 0.00217202
31 2130 0.00399061
32 2062 0.00484966
33 1952 0.00256148
34 1890 0.00291005
35 1964 0.0043279
36 1896 0.00369198
37 1830 0.00601093
38 1726 0.00695249
39 1660 0.00783133
40 1550 0.00903226
41 1434 0.0101116
42 1402 0.00927247
43 1262 0.0122821
44 1212 0.0140264
45 1178 0.0140068
46 1102 0.0140653
47 1048 0.0205153
48 964 0.0243776
49 982 0.037169
50 948 0.0443038
51 896 0.063058
52 910 0.0796703
53 858 0.0780886
54 832 0.0805288
55 772 0.0738342
56 782 0.0703325
57 742 0.0896226
58 712 0.0821629
59 614 0.0716612
60 556 0.0836331
61 540 0.075
62 488 0.107582
63 528 0.11553
64 522 0.122605
65 506 0.132411
66 496 0.155242
67 488 0.159836
68 472 0.172669
69 430 0.184884
70 432 0.178241
71 418 0.19378
72 438 0.199772
73 384 0.223958
74 378 0.215608
75 352 0.215909
76 368 0.248641
77 376 0.263298
78 348 0.25
79 352 0.262784
80 316 0.240506
81 294 0.318027
82 280 0.342857
83 280 0.35
84 280 0.344643
85 246 0.390244
86 252 0.396825
87 248 0.46371
88 258 0.49031
89 282 0.473404
90 314 0.442675
91 320 0.442188
92 340 0.405882
93 338 0.45858
94 338 0.433432
95 376 0.413564
96 406 0.405172
97 398 0.394472
98 384 0.40625
99 414 0.42029
100 416 0.441106
101 418 0.453349
102 406 0.434729
103 372 0.430108
104 348 0.435345
105 384 0.451823
106 382 0.438482
107 368 0.471467
108 366 0.487705
109 340 0.505882
110 370 0.528378
111 360 0.541667
112 312 0.620192
113 346 0.632948
114 358 0.656425
115 382 0.647906
116 360 0.608333
117 370 0.567568
118 360 0.605556
119 380 0.630263
120 386 0.645078
121 402 0.643035
122 404 0.638614
123 420 0.647619
124 426 0.673709
125 454 0.670705
126 502 0.685259
127 528 0.692235
128 550 0.690909
129 548 0.702555
130 544 0.72886
131 574 0.729965
132 600 0.74
133 664 0.738705
134 716 0.747905
135 776 0.764175
136 806 0.76861
137 824 0.787621
138 858 0.762238
139 890 0.79382
140 918 0.795752
141 944 0.783369
142 1038 0.789017
143 1098 0.797814
144 1148 0.805314
145 1220 0.80123
146 1260 0.805556
147 1404 0.803063
148 1508 0.804377
149 1644 0.819039
150 1740 0.829885
151 1848 0.823052
152 2038 0.829244
153 2174 0.838316
154 2312 0.838019
155 2404 0.842346
156 2496 0.844752
157 2520 0.85119
158 2692 0.857727
159 2804 0.860913
160 2958 0.859703
161 3102 0.872018
162 3254 0.890135
163 3500 0.902429
164 3646 0.910038
165 3926 0.921803
166 4150 0.925663
167 4386 0.931829
168 4632 0.939227
169 4954 0.945801
170 5182 0.948668
171 5302 0.945869
172 5698 0.947701
173 6246 0.949328
174 6664 0.95033
175 7134 0.952551
176 7706 0.954581
177 8056 0.960713
178 8460 0.960343
179 9156 0.960955
180 9656 0.964633
181 10000 0.9664
182 10000 0.9663
183 10000 0.9679
184 10000 0.97205
185 10000 0.9733
186 10000 0.97505
187 10000 0.9767
188 10000 0.97805
189 10000 0.97885
190 10000 0.9791
191 10000 0.97935
192 10000 0.98225
193 10000 0.98305
194 10000 0.9845
195 10000 0.98755
196 10000 0.9894
197 10000 0.98755
198 10000 0.9864
199 10000 0.98765
200 10000 0.98815
201 10000 0.9879
202 10000 0.9876
203 10000 0.98975
204 10000 0.98965
205 10000 0.99235
206 10000 0.9937
207 10000 0.99435
208 10000 0.99485
209 10000 0.9949
210 10000 0.99455
211 10000 0.99535
212 10000 0.99605
213 10000 0.9958
214 10000 0.9961
215 10000 0.9963
216 10000 0.99665
217 10000 0.99785
218 10000 0.998
219 10000 0.9974
220 10000 0.9976
221 10000 0.9972
222 10000 0.9972
223 10000 0.9976
224 10000 0.99825
225 10000 0.9986
226 10000 0.9989
227 10000 0.99885
228 10000 0.99945
229 10000 0.99965
230 10000 0.9995
231 10000 0.99915
232 10000 0.99875
233 10000 0.99865
234 10000 0.9985
235 10000 0.9986
236 10000 0.99845
237 10000 0.9986
238 10000 0.99905
239 10000 0.99905
240 10000 0.9986
241 10000 0.9984
242 10000 0.9985
243 10000 0.99845
244 10000 0.99875
245 10000 0.99885
246 10000 0.9987
247 10000 0.999
248 10000 0.99935
249 10000 0.9993
250 10000 0.99925
251 10000 0.99945
252 10000 0.99985
253 10000 1
