t n p
0 10000 5e-05
1 9992 0.00015012
2 9948 5.02614e-05
3 10000 0
4 9942 0
5 9746 5.13031e-05
6 9704 5.15251e-05
7 9696 5.15677e-05
8 9638 5.1878e-05
9 9726 0
10 9746 0.000153909
11 9650 0.00015544
12 9550 0.000209424
13 9534 0.000419551
14 9500 0.000526316
15 9432 0.00100721
16 9462 0.000951173
17 9360 0.00112179
18 9518 0.00173356
19 9456 0.00200931
20 9572 0.00245508
21 9564 0.00198662
22 9734 0.00200329
23 9570 0.00219436
24 9510 0.00157729
25 9536 0.00199245
26 9570 0.00203762
27 9472 0.00226985
28 9286 0.00425372
29 8942 0.00503243
30 8976 0.00579323
31 8886 0.00647085
32 9014 0.00671178
33 9008 0.00649423
34 9044 0.00646838
35 9132 0.0076106
36 9178 0.0074635
37 9310 0.00912997
38 9362 0.0107883
39 9282 0.0116893
40 9376 0.0135452
41 9390 0.014803
42 9370 0.0167556
43 9540 0.0171908
44 9540 0.0210692
45 9590 0.0229406
46 9610 0.023153
47 9642 0.0262394
48 9634 0.0264688
49 9686 0.0291658
50 9678 0.0319281
51 9730 0.0337616
52 9880 0.0373482
53 10000 0.0405
54 9968 0.0481039
55 10000 0.0494
56 9918 0.0522283
57 9920 0.05625
58 9948 0.0588058
59 10000 0.0621
60 10000 0.0641
61 10000 0.07285
62 10000 0.07955
63 10000 0.08475
64 10000 0.0946
65 10000 0.0996
66 10000 0.10665
67 10000 0.1144
68 10000 0.1216
69 10000 0.12455
70 10000 0.1295
71 10000 0.1375
72 10000 0.147
73 10000 0.1508
74 10000 0.1646
75 10000 0.17305
76 10000 0.18235
77 10000 0.1878
78 10000 0.19685
79 10000 0.2087
80 10000 0.2202
81 10000 0.2298
82 10000 0.2493
83 10000 0.26785
84 10000 0.28975
85 10000 0.3103
86 10000 0.3218
87 10000 0.3309
88 10000 0.3374
89 10000 0.34915
90 10000 0.3603
91 10000 0.38505
92 10000 0.39735
93 10000 0.41275
94 10000 0.42645
95 10000 0.4402
96 10000 0.45515
97 10000 0.46905
98 10000 0.48535
99 10000 0.50785
100 10000 0.52445
101 10000 0.5333
102 10000 0.54435
103 10000 0.5584
104 10000 0.57825
105 10000 0.59385
106 10000 0.60315
107 10000 0.61505
108 10000 0.6307
109 10000 0.6449
110 10000 0.6527
111 10000 0.66565
112 10000 0.67075
113 10000 0.68565
114 10000 0.697
115 10000 0.70795
116 10000 0.7191
117 10000 0.7271
118 10000 0.7375
119 10000 0.7504
120 10000 0.77005
121 10000 0.78355
122 10000 0.7894
123 10000 0.79865
124 10000 0.8041
125 10000 0.81025
126 10000 0.81835
127 10000 0.8288
128 10000 0.83595
129 10000 0.8427
130 10000 0.8488
131 10000 0.8534
132 10000 0.8602
133 10000 0.86575
134 10000 0.86715
135 10000 0.8726
136 10000 0.88175
137 10000 0.88655
138 10000 0.88985
139 10000 0.895
140 10000 0.9023
141 10000 0.90015
142 10000 0.90485
143 10000 0.90625
144 10000 0.9083
145 10000 0.912
146 10000 0.9218
147 10000 0.9256
148 10000 0.9293
149 10000 0.93685
150 10000 0.9401
151 10000 0.9459
152 10000 0.95115
153 10000 0.95465
154 10000 0.95695
155 10000 0.96365
156 10000 0.96305
157 10000 0.96355
158 10000 0.96525
159 10000 0.96805
160 10000 0.971
161 10000 0.9745
162 10000 0.9737
163 10000 0.97585
164 10000 0.9758
165 10000 0.97645
166 10000 0.9776
167 10000 0.97955
168 10000 0.98255
169 10000 0.98305
170 10000 0.9848
171 10000 0.9853
172 10000 0.9867
173 10000 0.98715
174 10000 0.98665
175 10000 0.98655
176 10000 0.98495
177 10000 0.9873
178 10000 0.9863
179 10000 0.986
180 10000 0.9861
181 10000 0.98735
182 10000 0.98705
183 10000 0.98765
184 10000 0.98795
185 10000 0.98875
186 10000 0.9898
187 10000 0.9923
188 10000 0.99265
189 10000 0.9931
190 10000 0.9933
191 10000 0.9939
192 10000 0.99355
193 10000 0.9935
194 10000 0.99435
195 10000 0.99465
196 10000 0.99545
197 10000 0.99555
198 10000 0.9961
199 10000 0.99605
200 10000 0.99635
201 10000 0.99665
202 10000 0.9966
203 10000 0.9969
204 10000 0.99705
205 10000 0.99805
206 10000 0.99765
207 10000 0.99815
208 10000 0.9979
209 10000 0.99815
210 10000 0.99815
211 10000 0.99835
212 10000 0.9984
213 10000 0.99875
214 10000 0.9989
215 10000 0.99905
216 10000 0.99975
217 10000 0.99985
218 10000 1
