t n p
1 10000 0.00025
2 9816 0.000305623
3 9898 0.000303092
4 9922 0.000403145
5 9910 0.000504541
6 10000 0.0005
7 10000 0.00045
8 10000 0.0006
9 10000 0.0009
10 10000 0.0008
11 10000 0.0007
12 9928 0.000805802
13 9952 0.000904341
14 10000 0.001
15 10000 0.0011
16 9888 0.000910194
17 9770 0.0011259
18 9872 0.00111426
19 9756 0.00133251
20 9910 0.00171544
21 9886 0.00192191
22 9864 0.0019262
23 9858 0.00253601
24 9912 0.00272397
25 9810 0.00285423
26 9912 0.00282486
27 9922 0.00302358
28 9854 0.00375482
29 9846 0.00365631
30 9890 0.00364004
31 9920 0.00403226
32 9862 0.00436017
33 9838 0.00426916
34 9756 0.00420254
35 9900 0.00454545
36 9890 0.00505561
37 10000 0.00555
38 10000 0.0055
39 10000 0.0061
40 10000 0.0064
41 10000 0.00645
42 10000 0.0055
43 10000 0.00695
44 9956 0.00723182
45 10000 0.0081
46 9984 0.00841346
47 9826 0.00844698
48 9670 0.00713547
49 9602 0.00801916
50 9710 0.00895984
51 9862 0.00943014
52 9802 0.0106101
53 9684 0.0112557
54 9698 0.0114457
55 9740 0.0110883
56 9774 0.011459
57 9776 0.0114566
58 9656 0.0121168
59 9836 0.0129118
60 9772 0.0137126
61 9740 0.0149897
62 9814 0.0159976
63 9716 0.0185261
64 9582 0.0198288
65 9698 0.0202104
66 9688 0.0227085
67 9692 0.0242468
68 9688 0.0249794
69 9864 0.0270681
70 9842 0.0280431
71 9846 0.0311802
72 9704 0.0336974
73 9782 0.0351666
74 9804 0.0388617
75 9922 0.039105
76 9954 0.0420936
77 10000 0.04435
78 10000 0.0483
79 10000 0.0482
80 10000 0.0487
81 10000 0.05215
82 10000 0.055
83 10000 0.059
84 10000 0.0618
85 10000 0.0671
86 10000 0.0719
87 10000 0.07445
88 10000 0.0808
89 9846 0.0834857
90 10000 0.08435
91 10000 0.08955
92 10000 0.0958
93 10000 0.09925
94 10000 0.1039
95 9910 0.108476
96 10000 0.11435
97 10000 0.11965
98 10000 0.1248
99 10000 0.1293
100 10000 0.137
101 10000 0.1416
102 10000 0.1471
103 10000 0.1563
104 10000 0.16195
105 10000 0.17055
106 10000 0.17855
107 10000 0.18485
108 10000 0.19315
109 10000 0.2004
110 10000 0.2082
111 10000 0.22005
112 10000 0.2259
113 10000 0.22955
114 10000 0.23655
115 10000 0.24255
116 10000 0.25355
117 10000 0.26125
118 10000 0.26755
119 10000 0.2773
120 10000 0.2824
121 10000 0.28945
122 10000 0.29935
123 10000 0.30845
124 10000 0.31655
125 10000 0.32435
126 10000 0.33145
127 10000 0.33945
128 10000 0.3443
129 10000 0.35295
130 10000 0.3578
131 10000 0.36315
132 10000 0.37085
133 10000 0.3775
134 10000 0.3816
135 10000 0.3876
136 10000 0.3932
137 10000 0.39825
138 10000 0.40155
139 10000 0.408
140 10000 0.41215
141 10000 0.41865
142 10000 0.41975
143 10000 0.42155
144 10000 0.42745
145 10000 0.43015
146 10000 0.4338
147 10000 0.437
148 10000 0.4449
149 10000 0.44595
150 10000 0.4515
151 10000 0.4518
152 10000 0.45315
153 10000 0.4558
154 10000 0.4573
155 10000 0.4588
156 10000 0.45935
157 10000 0.46255
158 10000 0.46535
159 10000 0.46895
160 10000 0.47175
161 10000 0.4728
162 10000 0.4749
163 10000 0.4764
164 10000 0.4797
165 10000 0.48095
166 10000 0.48125
167 10000 0.48325
168 10000 0.48495
169 10000 0.4857
170 10000 0.4872
171 10000 0.48875
172 10000 0.48975
173 10000 0.48925
174 10000 0.4892
175 10000 0.4903
176 10000 0.4912
177 10000 0.49225
178 10000 0.49135
179 10000 0.49195
180 10000 0.49125
181 10000 0.4919
182 10000 0.4922
183 10000 0.4922
184 10000 0.4928
185 10000 0.4931
186 10000 0.4936
187 10000 0.49335
188 10000 0.49325
189 10000 0.4935
190 10000 0.49465
191 10000 0.49445
192 10000 0.49455
193 10000 0.49465
194 10000 0.49595
195 10000 0.4963
196 10000 0.49625
197 10000 0.49715
198 10000 0.4969
199 10000 0.4967
200 10000 0.4969
201 10000 0.49655
202 10000 0.4966
203 10000 0.49585
204 10000 0.49645
205 10000 0.4966
206 10000 0.4969
207 10000 0.4974
208 10000 0.4974
209 10000 0.4971
210 10000 0.49765
211 10000 0.4984
212 10000 0.4989
213 10000 0.4991
214 10000 0.49915
215 10000 0.49915
216 10000 0.4995
217 10000 0.4994
218 10000 0.49925
219 10000 0.49955
220 10000 0.49965
221 10000 0.4998
222 10000 0.4998
223 10000 0.4999
224 10000 0.4999
225 10000 0.49985
226 10000 0.4998
227 10000 0.4998
228 10000 0.4999
229 10000 0.4999
230 10000 0.4999
231 10000 0.4999
232 10000 0.5
